Name,Cat_Num,Category,OG_Low,OG_High,FG_Low,FG_High,ABV_Low,ABV_High,IBU_Low,IBU_High,Lov_Low,Lov_High,Comm_Examples,Descr
 Dunkelweizen,15B,German Wheat And Rye Beer,1.044,1.056,1.01,1.014,4.3,5.6,10,18,14,23
 Weizenbock,15C,German Wheat And Rye Beer,1.064,1.08,1.015,1.022,6.5,8,15,30,12,25
 Roggenbier (German Rye Beer),15D,German Wheat And Rye Beer,1.046,1.056,1.01,1.014,4.5,6,10,20,14,19
 Witbier,16A,Belgian And French Ale,1.044,1.052,1.008,1.012,4.5,5.5,10,20,2,4
 Belgian Pale Ale,16B,Belgian And French Ale,1.048,1.054,1.01,1.014,4.8,5.5,20,30,8,14
 Saison,16C,Belgian And French Ale,1.048,1.08,1.01,1.016,5,8.5,25,45,5,12
 Bière de Garde,16D,Belgian And French Ale,1.06,1.08,1.012,1.018,6,8,20,30,6,19
 Belgian Specialty Ale,16E,Belgian And French Ale,1,1.1,1,1.1,0,20,0,100,0,100
 Berliner Weisse,17A,Sour Ale,1.028,1.032,1.004,1.006,2.8,3.6,3,8,2,3
 Flanders Red Ale,17B,Sour Ale,1.046,1.054,1.008,1.016,5,5.5,15,25,10,16
 Flanders Brown Ale/Oud Bruin,17C,Sour Ale,1.043,1.077,1.012,1.016,4,8,15,25,15,20
 Straight (Unblended) Lambic,17D,Sour Ale,1.04,1.054,1,1.01,5,6.5,0,10,3,7
 Gueuze,17E,Sour Ale,1.04,1.06,1,1.006,5,8,0,10,3,7
 Fruit Lambic,17F,Sour Ale,1.04,1.06,1,1.01,5,7,0,10,3,7
 Belgian Blond Ale,18A,Belgian Strong Ale,1.062,1.075,1.008,1.016,6,7.5,20,30,4,6
 Belgian Dubbel,18B,Belgian Strong Ale,1.062,1.075,1.01,1.018,6,7.5,15,25,10,14
 Belgian Tripel,18C,Belgian Strong Ale,1.075,1.085,1.01,1.016,7.5,9,25,38,4.5,6
 Belgian Golden Strong Ale,18D,Belgian Strong Ale,1.07,1.095,1.01,1.016,7.5,10,25,35,4,6
 Belgian Dark Strong Ale,18E,Belgian Strong Ale,1.075,1.011,1.01,1.024,8,12,15,25,14,20
 Old Ale,19A,Strong Ale,1.06,1.09,1.015,1.022,6,9,30,60,10,22
 English Barleywine,19B,Strong Ale,1.08,1.12,1.018,1.03,8,12,35,70,8,22
 American Barleywine,19C,Strong Ale,1.08,1.12,1.016,1.03,8,12,50,120,10,19
Fruit Beer,20,Fruit Beer,1,1.1,1,1.1,0,20,0,100,0,100
" Spice, Herb, or Vegetable Beer",21A,Spice/Herb/Vegetable Beer,1,1.1,1,1.1,0,20,0,100,0,100
 Christmas/Winter Specialty Spiced Beer,21B,Spice/Herb/Vegetable Beer,1,1.1,1,1.1,0,20,0,100,0,100
 Classic Rauchbier,22A,Smoke-Flavored & Wood-Aged Beer,1.05,1.056,1.012,1.016,4.8,6,20,30,14,22
 Other Smoked Beer,22B,Smoke-Flavored & Wood-Aged Beer,1,1.1,1,1.1,0,20,0,100,0,100
 Wood-Aged Beer,22C,Smoke-Flavored & Wood-Aged Beer,1,1.1,1,1.1,0,20,0,100,0,100
Specialty Beer,23,Specialty Beer,1,1.1,1,1.1,0,20,0,100,0,100
